UNKNOWN
version=1
nRows=1501
nColumns=3
inDegrees=no
endheader
time	time	ground_force_vy
    212.00000000	      0.35330000	      0.00000000
    213.00000000	      0.35500000	      0.00000000
    214.00000000	      0.35670000	      0.00000000
    215.00000000	      0.35830000	      0.00000000
    216.00000000	      0.36000000	      0.00000000
    217.00000000	      0.36170000	      0.00000000
    218.00000000	      0.36330000	      0.00000000
    219.00000000	      0.36500000	      0.00000000
    220.00000000	      0.36670000	      0.00000000
    221.00000000	      0.36830000	      0.00000000
    222.00000000	      0.37000000	      0.00000000
    223.00000000	      0.37170000	      0.00000000
    224.00000000	      0.37330000	      0.00000000
    225.00000000	      0.37500000	      0.00000000
    226.00000000	      0.37670000	      0.00000000
    227.00000000	      0.37830000	      0.00000000
    228.00000000	      0.38000000	      0.00000000
    229.00000000	      0.38170000	      0.00000000
    230.00000000	      0.38330000	      0.00000000
    231.00000000	      0.38500000	      0.00000000
    232.00000000	      0.38670000	      0.00000000
    233.00000000	      0.38830000	      0.00000000
    234.00000000	      0.39000000	      0.00000000
    235.00000000	      0.39170000	      0.00000000
    236.00000000	      0.39330000	      0.00000000
    237.00000000	      0.39500000	      0.00000000
    238.00000000	      0.39670000	      0.00000000
    239.00000000	      0.39830000	      0.00000000
    240.00000000	      0.40000000	      0.00000000
    241.00000000	      0.40170000	      0.00000000
    242.00000000	      0.40330000	      0.00000000
    243.00000000	      0.40500000	      0.00000000
    244.00000000	      0.40670000	      0.00000000
    245.00000000	      0.40830000	      0.00000000
    246.00000000	      0.41000000	      0.00000000
    247.00000000	      0.41170000	      0.00000000
    248.00000000	      0.41330000	      0.00000000
    249.00000000	      0.41500000	      0.00000000
    250.00000000	      0.41670000	      0.00000000
    251.00000000	      0.41830000	      0.00000000
    252.00000000	      0.42000000	      0.00000000
    253.00000000	      0.42170000	      0.00000000
    254.00000000	      0.42330000	      0.00000000
    255.00000000	      0.42500000	      0.00000000
    256.00000000	      0.42670000	      0.00000000
    257.00000000	      0.42830000	      0.00000000
    258.00000000	      0.43000000	      0.00000000
    259.00000000	      0.43170000	      0.00000000
    260.00000000	      0.43330000	      0.00000000
    261.00000000	      0.43500000	      0.00000000
    262.00000000	      0.43670000	      0.00000000
    263.00000000	      0.43830000	      0.00000000
    264.00000000	      0.44000000	      0.00000000
    265.00000000	      0.44170000	      0.00000000
    266.00000000	      0.44330000	      0.00000000
    267.00000000	      0.44500000	      0.00000000
    268.00000000	      0.44670000	      0.00000000
    269.00000000	      0.44830000	      0.00000000
    270.00000000	      0.45000000	      0.00000000
    271.00000000	      0.45170000	      0.00000000
    272.00000000	      0.45330000	      0.00000000
    273.00000000	      0.45500000	      0.00000000
    274.00000000	      0.45670000	      0.00000000
    275.00000000	      0.45830000	      0.00000000
    276.00000000	      0.46000000	      0.00000000
    277.00000000	      0.46170000	      0.00000000
    278.00000000	      0.46330000	      0.00000000
    279.00000000	      0.46500000	      0.00000000
    280.00000000	      0.46670000	      0.00000000
    281.00000000	      0.46830000	      0.00000000
    282.00000000	      0.47000000	      0.00000000
    283.00000000	      0.47170000	      0.00000000
    284.00000000	      0.47330000	      0.00000000
    285.00000000	      0.47500000	      0.00000000
    286.00000000	      0.47670000	      0.00000000
    287.00000000	      0.47830000	      0.00000000
    288.00000000	      0.48000000	      0.00000000
    289.00000000	      0.48170000	      0.00000000
    290.00000000	      0.48330000	      0.00000000
    291.00000000	      0.48500000	      0.00000000
    292.00000000	      0.48670000	      0.00000000
    293.00000000	      0.48830000	      0.00000000
    294.00000000	      0.49000000	      0.00000000
    295.00000000	      0.49170000	      0.00000000
    296.00000000	      0.49330000	      0.00000000
    297.00000000	      0.49500000	      0.00000000
    298.00000000	      0.49670000	      0.00000000
    299.00000000	      0.49830000	      0.00000000
    300.00000000	      0.50000000	      0.00000000
    301.00000000	      0.50170000	      0.00000000
    302.00000000	      0.50330000	      0.00000000
    303.00000000	      0.50500000	      0.00000000
    304.00000000	      0.50670000	      0.00000000
    305.00000000	      0.50830000	      0.00000000
    306.00000000	      0.51000000	      0.00000000
    307.00000000	      0.51170000	      0.00000000
    308.00000000	      0.51330000	      0.00000000
    309.00000000	      0.51500000	      0.00000000
    310.00000000	      0.51670000	      0.00000000
    311.00000000	      0.51830000	      0.00000000
    312.00000000	      0.52000000	      0.00000000
    313.00000000	      0.52170000	      0.00000000
    314.00000000	      0.52330000	      0.00000000
    315.00000000	      0.52500000	      0.00000000
    316.00000000	      0.52670000	      0.00000000
    317.00000000	      0.52830000	      0.00000000
    318.00000000	      0.53000000	      0.00000000
    319.00000000	      0.53170000	      0.00000000
    320.00000000	      0.53330000	      0.00000000
    321.00000000	      0.53500000	      0.00000000
    322.00000000	      0.53670000	      0.00000000
    323.00000000	      0.53830000	      0.00000000
    324.00000000	      0.54000000	      0.00000000
    325.00000000	      0.54170000	      0.00000000
    326.00000000	      0.54330000	      0.00000000
    327.00000000	      0.54500000	      0.00000000
    328.00000000	      0.54670000	      0.00000000
    329.00000000	      0.54830000	      0.00000000
    330.00000000	      0.55000000	      0.00000000
    331.00000000	      0.55170000	      0.00000000
    332.00000000	      0.55330000	      0.00000000
    333.00000000	      0.55500000	      0.00000000
    334.00000000	      0.55670000	      0.00000000
    335.00000000	      0.55830000	      0.00000000
    336.00000000	      0.56000000	      0.00000000
    337.00000000	      0.56170000	      0.00000000
    338.00000000	      0.56330000	      0.00000000
    339.00000000	      0.56500000	      0.00000000
    340.00000000	      0.56670000	      0.00000000
    341.00000000	      0.56830000	      0.00000000
    342.00000000	      0.57000000	      0.00000000
    343.00000000	      0.57170000	      0.00000000
    344.00000000	      0.57330000	      0.00000000
    345.00000000	      0.57500000	      0.00000000
    346.00000000	      0.57670000	      0.00000000
    347.00000000	      0.57830000	      0.00000000
    348.00000000	      0.58000000	      0.00000000
    349.00000000	      0.58170000	      0.00000000
    350.00000000	      0.58330000	      0.00000000
    351.00000000	      0.58500000	      0.00000000
    352.00000000	      0.58670000	      0.00000000
    353.00000000	      0.58830000	      0.00000000
    354.00000000	      0.59000000	      0.00000000
    355.00000000	      0.59170000	      0.00000000
    356.00000000	      0.59330000	      0.00000000
    357.00000000	      0.59500000	      0.00000000
    358.00000000	      0.59670000	      0.00000000
    359.00000000	      0.59830000	      2.41526491
    360.00000000	      0.60000000	      2.80946250
    361.00000000	      0.60170000	      3.30518824
    362.00000000	      0.60330000	      3.92553380
    363.00000000	      0.60500000	      4.69675514
    364.00000000	      0.60670000	      5.64813841
    365.00000000	      0.60830000	      6.81166799
    366.00000000	      0.61000000	      8.22163077
    367.00000000	      0.61170000	      9.91403678
    368.00000000	      0.61330000	     11.92583371
    369.00000000	      0.61500000	     14.29413063
    370.00000000	      0.61670000	     17.05515577
    371.00000000	      0.61830000	     20.24313863
    372.00000000	      0.62000000	     23.88916617
    373.00000000	      0.62170000	     28.01995577
    374.00000000	      0.62330000	     32.65663022
    375.00000000	      0.62500000	     37.81365348
    376.00000000	      0.62670000	     43.49781088
    377.00000000	      0.62830000	     49.70733538
    378.00000000	      0.63000000	     56.43136632
    379.00000000	      0.63170000	     63.64953989
    380.00000000	      0.63330000	     71.33197805
    381.00000000	      0.63500000	     79.43959787
    382.00000000	      0.63670000	     87.92474692
    383.00000000	      0.63830000	     96.73218318
    384.00000000	      0.64000000	    105.80035440
    385.00000000	      0.64170000	    115.06296320
    386.00000000	      0.64330000	    124.45067260
    387.00000000	      0.64500000	    133.89305340
    388.00000000	      0.64670000	    143.32052800
    389.00000000	      0.64830000	    152.66634510
    390.00000000	      0.65000000	    161.86841070
    391.00000000	      0.65170000	    170.87099150
    392.00000000	      0.65330000	    179.62609900
    393.00000000	      0.65500000	    188.09460100
    394.00000000	      0.65670000	    196.24699490
    395.00000000	      0.65830000	    204.06373560
    396.00000000	      0.66000000	    211.53528440
    397.00000000	      0.66170000	    218.66171730
    398.00000000	      0.66330000	    225.45205130
    399.00000000	      0.66500000	    231.92328550
    400.00000000	      0.66670000	    238.09920020
    401.00000000	      0.66830000	    244.00903650
    402.00000000	      0.67000000	    249.68607330
    403.00000000	      0.67170000	    255.16626600
    404.00000000	      0.67330000	    260.48687700
    405.00000000	      0.67500000	    265.68537200
    406.00000000	      0.67670000	    270.79830950
    407.00000000	      0.67830000	    275.86057690
    408.00000000	      0.68000000	    280.90481720
    409.00000000	      0.68170000	    285.96101650
    410.00000000	      0.68330000	    291.05645130
    411.00000000	      0.68500000	    296.21572900
    412.00000000	      0.68670000	    301.46098800
    413.00000000	      0.68830000	    306.81223890
    414.00000000	      0.69000000	    312.28778170
    415.00000000	      0.69170000	    317.90456170
    416.00000000	      0.69330000	    323.67867750
    417.00000000	      0.69500000	    329.62568650
    418.00000000	      0.69670000	    335.76087430
    419.00000000	      0.69830000	    342.09948900
    420.00000000	      0.70000000	    348.65666590
    421.00000000	      0.70170000	    355.44739210
    422.00000000	      0.70330000	    362.48629530
    423.00000000	      0.70500000	    369.78730390
    424.00000000	      0.70670000	    377.36329360
    425.00000000	      0.70830000	    385.22562630
    426.00000000	      0.71000000	    393.38363600
    427.00000000	      0.71170000	    401.84411740
    428.00000000	      0.71330000	    410.61087910
    429.00000000	      0.71500000	    419.68427360
    430.00000000	      0.71670000	    429.06090170
    431.00000000	      0.71830000	    438.73330720
    432.00000000	      0.72000000	    448.68982070
    433.00000000	      0.72170000	    458.91448590
    434.00000000	      0.72330000	    469.38705110
    435.00000000	      0.72500000	    480.08314550
    436.00000000	      0.72670000	    490.97447510
    437.00000000	      0.72830000	    502.02917430
    438.00000000	      0.73000000	    513.21219870
    439.00000000	      0.73170000	    524.48576510
    440.00000000	      0.73330000	    535.80982800
    441.00000000	      0.73500000	    547.14264360
    442.00000000	      0.73670000	    558.44126940
    443.00000000	      0.73830000	    569.66216870
    444.00000000	      0.74000000	    580.76179180
    445.00000000	      0.74170000	    591.69712160
    446.00000000	      0.74330000	    602.42629480
    447.00000000	      0.74500000	    612.90912110
    448.00000000	      0.74670000	    623.10762940
    449.00000000	      0.74830000	    632.98654820
    450.00000000	      0.75000000	    642.51381350
    451.00000000	      0.75170000	    651.66102940
    452.00000000	      0.75330000	    660.40385680
    453.00000000	      0.75500000	    668.72240050
    454.00000000	      0.75670000	    676.60144410
    455.00000000	      0.75830000	    684.03066810
    456.00000000	      0.76000000	    691.00471660
    457.00000000	      0.76170000	    697.52325040
    458.00000000	      0.76330000	    703.59080470
    459.00000000	      0.76500000	    709.21660420
    460.00000000	      0.76670000	    714.41426580
    461.00000000	      0.76830000	    719.20125450
    462.00000000	      0.77000000	    723.59841100
    463.00000000	      0.77170000	    727.62928360
    464.00000000	      0.77330000	    731.31944040
    465.00000000	      0.77500000	    734.69576440
    466.00000000	      0.77670000	    737.78570750
    467.00000000	      0.77830000	    740.61651400
    468.00000000	      0.78000000	    743.21454930
    469.00000000	      0.78170000	    745.60463970
    470.00000000	      0.78330000	    747.80948640
    471.00000000	      0.78500000	    749.84932550
    472.00000000	      0.78670000	    751.74154950
    473.00000000	      0.78830000	    753.50057320
    474.00000000	      0.79000000	    755.13778910
    475.00000000	      0.79170000	    756.66158350
    476.00000000	      0.79330000	    758.07753080
    477.00000000	      0.79500000	    759.38865240
    478.00000000	      0.79670000	    760.59578650
    479.00000000	      0.79830000	    761.69796420
    480.00000000	      0.80000000	    762.69282400
    481.00000000	      0.80170000	    763.57696310
    482.00000000	      0.80330000	    764.34631100
    483.00000000	      0.80500000	    764.99644920
    484.00000000	      0.80670000	    765.52285380
    485.00000000	      0.80830000	    765.92113970
    486.00000000	      0.81000000	    766.18717290
    487.00000000	      0.81170000	    766.31713370
    488.00000000	      0.81330000	    766.30754640
    489.00000000	      0.81500000	    766.15522330
    490.00000000	      0.81670000	    765.85722300
    491.00000000	      0.81830000	    765.41080410
    492.00000000	      0.82000000	    764.81335750
    493.00000000	      0.82170000	    764.06239610
    494.00000000	      0.82330000	    763.15552810
    495.00000000	      0.82500000	    762.09044740
    496.00000000	      0.82670000	    760.86500210
    497.00000000	      0.82830000	    759.47720770
    498.00000000	      0.83000000	    757.92538260
    499.00000000	      0.83170000	    756.20826590
